VCD info: dumpfile sim/i2c_simulation.vcd opened for output.
[I2C Testbench] Iniciando simulación...
Time=0 ns | SDA=1 SCL=1 | M_State=0 S_State=0 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=0 | RegAddr=00 S_Shift=00000000

--- Iniciando Transacción 1: Escritura (Write 8'hA5 a Reg 8'h20) ---
Time=300 ns | SDA=1 SCL=1 | M_State=0 S_State=0 | cmd_valid=1 cmd_ready=1 busy=0 bus_active=0 | RegAddr=00 S_Shift=00000000
Time=310 ns | SDA=1 SCL=1 | M_State=1 S_State=0 | cmd_valid=1 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000000
Time=320 ns | SDA=1 SCL=1 | M_State=1 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000000
Time=810 ns | SDA=1 SCL=0 | M_State=1 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000000
Time=1310 ns | SDA=1 SCL=1 | M_State=1 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000000
Time=1810 ns | SDA=0 SCL=1 | M_State=1 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000000
Time=1850 ns | SDA=0 SCL=1 | M_State=1 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000000
Time=2310 ns | SDA=0 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000000
Time=2810 ns | SDA=1 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000000
Time=3310 ns | SDA=1 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000000
Time=3350 ns | SDA=1 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000001
Time=4310 ns | SDA=1 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000001
Time=4810 ns | SDA=0 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000001
Time=5310 ns | SDA=0 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000001
Time=5350 ns | SDA=0 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000010
Time=6310 ns | SDA=0 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000010
Time=6810 ns | SDA=1 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000010
Time=7310 ns | SDA=1 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000010
Time=7350 ns | SDA=1 SCL=1 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000101
Time=8310 ns | SDA=1 SCL=0 | M_State=2 S_State=1 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000101
